Description / Purpose (name of the screen),Source Field,Page Type,Data Type,TO-BE Entity,FHIR Element (FHIRPath),Mapping Logic / Transformation Rules,In PoC
What is your weight loss goal?,weight_goal,Input (custom),(list of options),Goal,goal.description,,FALSE
What is your current weight and height?,weight,Input (predefined),(number),Observation,"observation.valueQuantity
observation.code = ""29463-7""",LOINC/UCUM,TRUE
What is your current weight and height?,height_inches,Input (predefined),(number),N/A,N/A,,FALSE
What is your current weight and height?,height_feets,Input (predefined),(number),N/A,N/A,,FALSE
What is your current weight and height?,bmi,Component Calculated Variables,(number),Observation,"observation.valueQuantity
observation.code = ""39156-5""",LOINC/UCUM,TRUE
What is your current weight and height?,height,Component Calculated Variables,(number),Observation,"observation.valueQuantity
observation.code = ""8302-2""",LOINC/UCUM,FALSE
What is your gender? ,gender,Input (custom),(list of options),Patient,patient.gender,,TRUE
What is your date of birth?,date_of_birth,Predefined Input,(date),Patient,patient.birthDate,,TRUE
What is your date of birth?,age,Component Calculated Variables,(number),N/A,N/A,,FALSE
Where are you currently located?,state,Predefined Input,text,Address,"patient.address[0].state
patient.address[0].country = ""US""
patient.address[0].type = ""physical""
patient.address[0].use = ""home""",,TRUE
"What are the main reasons you want to make a change?
",main_reason,Input (custom),(list of options),Goal,"goal.display
goal.code","potentially mapping to SNOMED codes

for example:
111951006 – “Longevity”
1255619009 – “Risk level”",FALSE
Do any of the following apply to you?,medical_exclusion_criteria,Component Calculated Variables,(list of options),"Condition

or DetectedIssue / Observation","condition.code
condition.clinicalStatus = ""active""
condition.category = ""problem-list-item""","SNOMED

codes like:
Pregnant = SNOMED 77386006
46177005 “End-stage renal disease”
6471006 “Suicidal ideation”",FALSE
Are you currently taking or have recently (within the last 12 months) taken medication(s) for weight loss?,prior_weight_loss_meds_use,Input (custom),(list of options),MedicationStatement,"medicationStatement.status = ""active""",,FALSE
"Please list the name, dose, and frequency of your current or recent (within the last 12 months) weight loss medication(s).",weight_loss_medication_description,Input (custom),text,Dosage,medicationStatement.dosage.text,,FALSE
What was your starting weight in pounds (lbs)? ,starting_weight_in_lbs,Input (custom),number,Observation,"observation.valueQuantity
observation.code = ""29463-7""",LOINC/UCUM,FALSE
Do you agree to only obtain weight loss medication through this platform moving forward?,mwl_exclusivity,Input (custom),(list of options),,,,FALSE
When was your last dose of medication? This question is required before further medication can be prescribed.,last_mwl_dose,Input (custom),(list of options),Timing,medicationStatement.dosage.timing,,FALSE
Please upload a picture of your current GLP-1 medication pen or vial.,glp1_medication_pen_image,Input (custom),image,Media,"media.content
media.subject
media.partOf - link to statement
media.type = ""photo""",,FALSE
Do you currently take any medications?,any_medications,Input (custom),(list of options),"Observation
MedicationStatement","observation.code = ""Takes current meds""
(same principle as above)",,FALSE
"Please include name, dose, and frequency of all your medications.",any_medications_description,Input (custom),text,Dosage,medicationStatement.dosage.text,,FALSE
"Are you currently taking, plan to take, or have recently (within the last 3 months) taken opiate pain medications and/or opiate-based street drugs?",opiate_pain_medications,Input (custom),(list of options),"Observation
MedicationStatement","observation.code = ""Takes current meds""
(same principle as above)",,FALSE
"Please include date range, name, dose, and frequency of your opiate medications.",opiate_pain_medications_description,Input (custom),text,Dosage,medicationStatement.dosage.text,,FALSE
Have you had prior bariatric (weight loss) surgery or any abdominal/pelvic surgeries?,abdominal_pelvic_surgeries,Input (custom),(list of options),Procedure,"procedure.code
procedure.status = ""completed""",SNOMED,FALSE
